source,target,value
designer,twitter-ios,3
designer,tweetie-ios,3
designer,ps3,3
designer,path-finder,3
designer,omnigraffle-pro,3
designer,mighty-mouse,3
designer,macintosh-plus,3
designer,m9,3
designer,liveview-ios,3
designer,kindle,3
designer,iphone-3g,3
designer,iphone,3
designer,ipad-3,3
designer,ia-writer-ios,3
designer,fontexplorer-x,3
designer,final-cut-pro,3
designer,eos-5d-mark-ii,3
designer,cloudapp,3
designer,cinema-4d,3
designer,boot-camp,3
designer,airport-express,3
data,mail,3
data,magic-mouse,3
data,macbook-air,3
artist,xbox-360,3
artist,windows-xp,3
artist,time-capsule,3
artist,superduper,3
artist,magic-trackpad,3
artist,ipod-touch,3
artist,iphone-3gs,3
artist,instapaper-ios,3
writer,yeti,2
writer,writeboard,2
writer,wikipanion-ios,2
writer,wayback-machine,2
writer,ubuntu,2
writer,twitter-ios,2
writer,tripit-ios,2
writer,the-hit-list,2
writer,superduper,2
writer,studio-display,2
writer,stanza-ios,2
writer,skype-ios,2
writer,sketchup,2
writer,sequel-pro,2
writer,script-debugger,2
writer,rebel-xt,2
writer,precise-v5,2
writer,power-mac-g5,2
writer,power-mac-g4,2
writer,pitt-artist-pen,2
writer,photo-booth,2
writer,performance-mouse-mx,2
writer,peggle-ios,2
writer,path-finder,2
writer,omnifocus-ios,2
writer,notebook-mac,2
writer,mail-ios,2
writer,lightroom,2
writer,keyboard-maestro,2
writer,jungle-disk,2
writer,jerker,2
writer,ipod-nano,2
writer,ipod-classic,2
writer,ipad-3g,2
writer,intuos,2
writer,internet-explorer,2
writer,instacast-ios,2
writer,ia-writer-ios,2
writer,goodreader-ios,2
writer,gmail,2
writer,galaxy-s-ii,2
writer,flipboard-ios,2
writer,final-cut-pro,2
writer,excel,2
writer,evernote-ios,2
writer,eos-5d-mark-ii,2
writer,emacs,2
writer,ego-ios,2
writer,editplus,2
writer,due-ios,2
writer,audio-hijack-pro,2
writer,aperture,2
writer,acrobat,2
windows,xcode,2
windows,xbox-360-controller-for-windows,2
windows,words-with-friends-ios,2
windows,wii,2
windows,wifi-body-scale,2
windows,vmware-workstation,2
windows,total-commander,2
windows,time-machine,2
windows,thinkpad-x60,2
windows,thinkpad-t400,2
windows,subversion,2
windows,stanza-ios,2
windows,safari-ios,2
windows,remember-the-milk,2
windows,reeder-ios,2
windows,rebel-xt,2
windows,readynas-duo,2
windows,quickbooks,2
windows,psp,2
windows,precise-v5,2
windows,plan-9,2
windows,painter,2
windows,paint-shop-pro,2
windows,notebook-cooler,2
windows,nexus-s,2
windows,nexus-one,2
windows,nex-5n,2
windows,natural-keyboard,2
windows,movie-maker,2
windows,m9,2
windows,keyboard,2
windows,jerker,2
windows,ipad-3g,2
windows,ibooks-ios,2
windows,google-voice,2
windows,galaxy-s-ii,2
windows,flash-builder,2
windows,fl-studio,2
windows,expert-mouse,2
windows,editplus,2
windows,ec2,2
windows,dsi,2
windows,d700,2
windows,cubase-le,2
windows,boot-camp,2
windows,advantage-usb,2
windows,3007wfp,2
web,xbox-360,2
web,wow,2
web,wordpress-ios,2
web,visual-studio,2
web,twidroid-android,2
web,tweetie-ios,2
web,traktor-pro,2
web,thunderbolt-display,2
web,thinkpad-x220,2
web,thinkpad-x201,2
web,sr60i,2
web,sequel-pro,2
web,se115m-plus,2
web,scansnap-s1500m,2
web,rokit-5,2
web,remote-ios,2
web,reeder,2
web,readynas-nv-plus,2
web,rails,2
web,quietcomfort-15,2
web,psp-go,2
web,powershot-s100,2
web,pcm-d50,2
web,path-ios,2
web,path-finder,2
web,parallels-desktop,2
web,omnigraffle-pro,2
web,nexus-s,2
web,mstand,2
web,mindnode-pro,2
web,mdr-7506,2
web,macvim,2
web,kindle-fire,2
web,jerker,2
web,istat-menus,2
web,ipod-nano,2
web,ipod-classic,2
web,iphone-3g,2
web,intellij-idea,2
web,ia-writer-mac,2
web,google-talk,2
web,google-plus,2
web,google-maps,2
web,gimme-bar,2
web,gel-ink-0.38mm,2
web,flipboard-ios,2
web,final-cut-pro,2
web,expert-mouse,2
web,emacs,2
web,ef-85mm-f1.2l-ii-usm,2
web,ef-50mm-f1.2l-usm,2
web,ef-400mm-f2.8l-is-ii-usm,2
web,ef-35mm-f1.4l-usm,2
web,ef-16-35mm-f2.8l-ii-usm,2
web,ec2,2
web,d90,2
web,creative-cloud,2
web,connectbot-android,2
web,carcassonne-ios,2
web,app-engine,2
web,aeron,2
web,3007wfp,2
usability,rhel,2
type,fontlab-studio,2
technologist,macbook-pro,2
teacher,windows-7,2
sysadmin,mac-pro,2
suit,words-with-friends-ios,2
suit,wii,2
suit,twitter-mac,2
suit,twitter-ios,2
suit,thinkpad-x201,2
suit,terminal,2
suit,simplenote-ios,2
suit,psp,2
suit,ps3,2
suit,nexus-one,2
suit,movable-type,2
suit,magic-mouse,2
suit,kindle-ios,2
suit,kindle-for-mac,2
suit,keyboard,2
suit,ipad-3,2
suit,instagram-ios,2
suit,excel,2
suit,e-p1,2
suit,creative-suite,2
software,xps-m1530,2
software,xo,2
software,xbox-360,2
software,wow,2
software,wolfram-alpha,2
software,visual-studio,2
software,vim,2
software,ubuntu,2
software,u2711,2
software,twitkitteh-ios,2
software,twidroid-android,2
software,tweetbot-ios,2
software,thinkpad-x60,2
software,subversion,2
software,stylus-photo-r1900,2
software,snapz-pro-x,2
software,se530,2
software,remember-the-milk,2
software,razor-point,2
software,raspberry-pi,2
software,quietcomfort-15,2
software,pro-tools,2
software,powerbook-g4,2
software,plan-9,2
software,photoshop-elements,2
software,performance-mouse-mx,2
software,path-finder,2
software,papers,2
software,omnifocus-ios,2
software,objective-c,2
software,no-kahuna,2
software,nebulous-notes-ios,2
software,mx-revolution,2
software,mlb-at-bat-ios,2
software,mindnode-pro,2
software,mbox,2
software,mamba,2
software,lisp,2
software,kindle-fire,2
software,istat-menus,2
software,internet-explorer,2
software,illustrator,2
software,happy-hacking-keyboard,2
software,google-voice,2
software,google-talk,2
software,google-maps,2
software,goodreader-ios,2
software,gnome-terminal,2
software,gentoo,2
software,galaxy-nexus,2
software,flipboard-ios,2
software,fieldrunners-ios,2
software,field-notes,2
software,fedora,2
software,extended-keyboard-ii,2
software,evernote-mac,2
software,ego-ios,2
software,echofon-ios,2
software,drobo,2
software,delicious-library,2
software,d90,2
software,creative-suite,2
software,cr-48,2
software,connectbot-android,2
software,cintiq,2
software,boot-camp,2
software,bamboo,2
software,at2020,2
software,arduino,2
software,app-engine,2
software,airport-express,2
software,af-nikkor-50mm-f1.4d,2
software,aeron,2
software,3007wfp,2
software,2big-quadra,2
scientist,word,2
scientist,u3011,2
scientist,mail,2
scientist,mac-os-x,2
scientist,iterm2,2
researcher,office,2
researcher,mail,2
researcher,magic-mouse,2
researcher,mac-mini,2
researcher,lightroom,2
researcher,iphone-3g,2
researcher,instagram-ios,2
researcher,ical,2
researcher,creative-suite,2
researcher,cinema-display,2
researcher,c-plusplus,2
professor,red-hat-enterprise-desktop,2
professor,magic-trackpad,2
professor,mac-mini,2
professor,keynote,2
professor,keyboard,2
professor,ipad-2,2
professor,google-calendar,2
professor,cinema-display,2
podcaster,final-cut-pro,2
podcaster,cinema-display,2
photographer,scansnap-s1500m,2
photographer,omnifocus-ios,2
photographer,mail,2
photographer,little-big-disk,2
photographer,lc-a-plus,2
photographer,lc-a,2
photographer,foursquare-ios,2
photographer,flipboard-ios,2
photographer,evernote-ios,2
photographer,d3,2
photographer,creative-suite,2
photographer,after-effects,2
musician,windows-xp,2
musician,wii,2
musician,visual-studio,2
musician,valve-junior,2
musician,pro-tools-le,2
musician,mp-2nv,2
musician,mail,2
musician,magic-mouse,2
musician,macbook-air,2
musician,logic-studio,2
musician,kontakt,2
musician,keyboard,2
musician,iphone-4,2
musician,ipad-2,2
musician,instagram-ios,2
musician,final-cut-pro,2
musician,dm1-ios,2
musician,c-plusplus,2
mac,z-5500,2
mac,yashica-t4,2
mac,writing-kit-ios,2
mac,writeboard,2
mac,wordpress-ios,2
mac,wolfram-alpha,2
mac,windows-8,2
mac,wikipanion-ios,2
mac,wifi-body-scale,2
mac,wayback-machine,2
mac,valve-junior,2
mac,ultra-wide-and-slim,2
mac,u3011,2
mac,twitkitteh-ios,2
mac,tweetie,2
mac,thinkpad-x201,2
mac,thinkpad-t60p,2
mac,the-incident-ios,2
mac,ted-ios,2
mac,tactile-pro,2
mac,sword-and-sworcery-ios,2
mac,stylus-pro-7800,2
mac,stylus-photo-r1900,2
mac,steadicam-merlin,2
mac,stanza-ios,2
mac,ss-b1000,2
mac,sr80i,2
mac,speedlight-580ex,2
mac,speedlight-430ex,2
mac,spanning-sync,2
mac,soundtrack-pro,2
mac,sound-studio,2
mac,smartstor-ds4600,2
mac,sm7b,2
mac,sixty-four,2
mac,sg-standard,2
mac,se115m-plus,2
mac,s3,2
mac,rugged,2
mac,remote-desktop,2
mac,reeder,2
mac,red-hat-enterprise-desktop,2
mac,rebel-xti,2
mac,readmill-ios,2
mac,re20,2
mac,rd-700nx,2
mac,razor-point,2
mac,quickbooks,2
mac,psp-go,2
mac,prompt-ios,2
mac,premiere,2
mac,precise-v5,2
mac,powershot-s90,2
mac,powershot-g10,2
mac,powerpoint,2
mac,power-mac-g4,2
mac,porta-pro,2
mac,pod-pro,2
mac,plan-9-user-space,2
mac,pitt-artist-pen,2
mac,photosmart-c4580,2
mac,perfection-v500,2
mac,perfection-v30,2
mac,penultimate-ios,2
mac,pcm-d50,2
mac,pcalc-ios,2
mac,paint-shop-pro,2
mac,pages-ios,2
mac,osmos-ios,2
mac,on-the-job,2
mac,nytimes-ios,2
mac,notebook-mac,2
mac,notebook-cooler,2
mac,no-kahuna,2
mac,nex-5n,2
mac,netnewswire-ios,2
mac,nebulous-notes-ios,2
mac,natural-keyboard,2
mac,mx-1000,2
mac,mpeg-streamclip,2
mac,mp-2nv,2
mac,movie-maker,2
mac,model-s-ultimate,2
mac,model-m,2
mac,messages-ios,2
mac,media-composer,2
mac,max,2
mac,masstransit-ios,2
mac,mamba,2
mac,macvim,2
mac,m510,2
mac,lumix-dmc-lx3,2
mac,lumia-900,2
mac,lp3065,2
mac,little-big-disk,2
mac,lisp,2
mac,le-pen,2
mac,lc-a-plus,2
mac,lc-a,2
mac,kindle-for-mac,2
mac,jungle-disk,2
mac,iteleport-ios,2
mac,istat-pro,2
mac,ipod-photo,2
mac,iphone-5,2
mac,instacast-ios,2
mac,inspiron-mini-9,2
mac,inform,2
mac,icon-udac,2
mac,hundreds-ios,2
mac,hd-650,2
mac,hd-600,2
mac,h4n,2
mac,h2-handy-recorder,2
mac,graphire,2
mac,google-voice,2
mac,github-for-mac,2
mac,gentoo,2
mac,gel-ink-0.38mm,2
mac,g-raid,2
mac,g-drive-mini,2
mac,fuelband,2
mac,freeagent-goflex,2
mac,fontlab-studio,2
mac,fluke-179,2
mac,flip-ultra-hd,2
mac,fireworks,2
mac,firefox,2
mac,fieldrunners-ios,2
mac,facebook-messenger-ios,2
mac,exit-strategy-nyc-ios,2
mac,everyday-ios,2
mac,eos-5d,2
mac,eos-500d,2
mac,embody,2
mac,eliss-ios,2
mac,ef-s-10-22mm-f3.5-4.5-usm,2
mac,ef-85mm-f1.2l-ii-usm,2
mac,ef-70-200mm-f2.8l-is-ii-usm,2
mac,ef-50mm-f1.4-usm,2
mac,ef-400mm-f2.8l-is-ii-usm,2
mac,ef-35mm-f1.4l-usm,2
mac,ef-24mm-f1.4l-ii-usm,2
mac,eagle,2
mac,e-p1,2
mac,ds-lite,2
mac,ds,2
mac,drop7-ios,2
mac,droid-3,2
mac,drobo,2
mac,dm1-ios,2
mac,delicious-library,2
mac,d80,2
mac,d5100,2
mac,d3,2
mac,cyanogen,2
mac,creative-cloud,2
mac,crashplan,2
mac,cr-48,2
mac,compass-597,2
mac,coda,2
mac,caviar-black,2
mac,canoscan-8800f,2
mac,canabalt-ios,2
mac,camera-plus-ios,2
mac,call-recorder,2
mac,calcbot-ios,2
mac,c03u,2
mac,c-sharp,2
mac,buster-ios,2
mac,birdhouse-ios,2
mac,audio-hijack-pro,2
mac,ath-m50,2
mac,ath-anc7b,2
mac,at2020,2
mac,arduino,2
mac,arch-linux,2
mac,aperture,2
mac,aircard-598,2
mac,af-s-nikkor-24-70mm-f2.8g-ed,2
mac,af-s-dx-nikkor-18-200mm-f3.5-5.6g-ed-vr-ii,2
mac,af-nikkor-50mm-f1.8d,2
mac,3007wfp,2
mac,2big-quadra,2
mac,1password-ios,2
mac,1510-carry-on-case,2
linux,windows-xp,2
linux,windows-8,2
linux,vmware-workstation,2
linux,visual-studio,2
linux,verticalmouse,2
linux,thinkpad-x60,2
linux,thinkpad-t60p,2
linux,sublime-text-2,2
linux,slackware,2
linux,safari-ios,2
linux,red-hat-enterprise-desktop,2
linux,quietcomfort-15,2
linux,photoshop,2
linux,parallels-desktop,2
linux,nexus-s,2
linux,mail-ios,2
linux,magic-trackpad,2
linux,lisp,2
linux,lightroom,2
linux,kindle-ios,2
linux,ipad-3,2
linux,intellij-idea,2
linux,happy-hacking-keyboard,2
linux,google-talk,2
linux,google-plus,2
linux,google-apps,2
linux,google-analytics,2
linux,gnome-terminal,2
linux,gmail,2
linux,gimp,2
linux,gentoo,2
linux,gcc,2
linux,galaxy-nexus,2
linux,g1,2
linux,eee-pad-transformer-tf101,2
linux,ec2,2
linux,cr-48,2
linux,bash,2
linux,apple-tv,2
linux,advantage-usb,2
linux,advantage-pro-usb,2
linux,3007wfp,2
librarian,office,2
librarian,macbook-air,2
journalist,twitter-mac,2
journalist,iphone-4,2
journalist,ipad-2,2
journalist,chrome,2
interface,vmware-fusion,2
interface,omnigraffle-pro,2
interface,mac-os-x,2
interface,iphone-3gs,2
interface,ipad,2
interface,ia-writer-mac,2
interface,google-plus,2
illustrator,macbook-air,2
illustrator,instagram-ios,2
illustrator,google-docs,2
illustrator,creative-suite,2
icon,illustrator,2
hardware,subversion,2
hardware,photoshop,2
hacker,u2711,2
hacker,subversion,2
hacker,screen,2
hacker,photoshop,2
hacker,office,2
hacker,keyboard,2
hacker,happy-hacking-keyboard,2
hacker,fluke-179,2
hacker,eagle,2
hacker,chrome,2
hacker,bamboo,2
hacker,arduino,2
hacker,airport-express,2
game,xbox-360-controller-for-windows,2
game,windows-media-player,2
game,windows-live-messenger,2
game,unity,2
game,toon-boom-studio,2
game,time-machine,2
game,sublime-text-2,2
game,sr80i,2
game,sketchup,2
game,remember-the-milk,2
game,premiere,2
game,performance-mouse-mx,2
game,nexus-s,2
game,make,2
game,logic-pro,2
game,kindle,2
game,iphone-3gs,2
game,instapaper-ios,2
game,instagram-ios,2
game,ibooks-ios,2
game,h1,2
game,game-maker,2
game,flash,2
game,fl-studio,2
game,final-draft,2
game,excel,2
game,ds,2
game,dropbox-ios,2
game,d90,2
game,cubase-le,2
game,creative-suite,2
game,c01u,2
game,bamboo,2
game,aeron,2
game,3ds-max,2
food,macbook-pro,2
food,google-docs,2
film,windows-xp,2
film,rugged,2
film,photoshop,2
film,mighty-mouse,2
film,keyboard,2
film,iphone-4,2
film,final-cut-studio,2
film,eos-7d,2
film,ego-ios,2
film,call-recorder,2
editor,writeboard,2
editor,words-with-friends-ios,2
editor,tweetbot-ios,2
editor,reeder-ios,2
editor,rdio-ios,2
editor,power-mac-g5,2
editor,mail,2
editor,mac-pro,2
editor,mac-os-x,2
editor,kindle-ios,2
editor,keyboard,2
editor,iphone-4s,2
editor,iphone-3g,2
editor,ipad,2
editor,ia-writer-mac,2
editor,google-reader,2
editor,creative-suite,2
editor,cinema-display,2
editor,airport-express,2
developer,xps-m1530,2
developer,xcode,2
developer,wolfram-alpha,2
developer,windows-media-player,2
developer,windows-live-messenger,2
developer,vim,2
developer,verticalmouse,2
developer,u2410,2
developer,twitkitteh-ios,2
developer,traktor-pro,2
developer,total-commander,2
developer,thinkpad-x201,2
developer,tactile-pro,2
developer,subversion,2
developer,stylus-photo-r1900,2
developer,stanza-ios,2
developer,sr80i,2
developer,sr60i,2
developer,soundtrack-pro,2
developer,snapz-pro-x,2
developer,smartstor-ds4600,2
developer,sketchup,2
developer,sixty-four,2
developer,se115m-plus,2
developer,s3,2
developer,rokit-5,2
developer,remote-ios,2
developer,remember-the-milk,2
developer,razor-point,2
developer,raspberry-pi,2
developer,premiere,2
developer,powershot-s100,2
developer,powerbook-g4,2
developer,power-mac-g4,2
developer,plan-9-user-space,2
developer,pcm-d50,2
developer,path-ios,2
developer,pandora-ios,2
developer,paint-shop-pro,2
developer,oxygen-49,2
developer,openoffice,2
developer,no-kahuna,2
developer,nebulous-notes-ios,2
developer,n600,2
developer,mx-revolution,2
developer,mstand,2
developer,movable-type,2
developer,mindnode-pro,2
developer,mdr-7506,2
developer,masstransit-ios,2
developer,mail-ios,2
developer,macvim,2
developer,m9,2
developer,logic-pro,2
developer,liveview-ios,2
developer,live,2
developer,lisp,2
developer,jerker,2
developer,ipod-shuffle,2
developer,ipod-classic,2
developer,iphone-5,2
developer,inspiron-mini-9,2
developer,imac,2
developer,ia-writer-mac,2
developer,h1,2
developer,google-voice,2
developer,gentoo,2
developer,game-maker,2
developer,galaxy-nexus,2
developer,g2,2
developer,fluid,2
developer,flash-builder,2
developer,flash,2
developer,fl-studio,2
developer,fireworks,2
developer,finepix-x100,2
developer,fieldrunners-ios,2
developer,field-notes,2
developer,fedora,2
developer,ego-ios,2
developer,ef-85mm-f1.2l-ii-usm,2
developer,ef-50mm-f1.2l-usm,2
developer,ef-400mm-f2.8l-is-ii-usm,2
developer,echofon-ios,2
developer,dropbox-ios,2
developer,delicious-library,2
developer,default-folder-x,2
developer,d700,2
developer,d300,2
developer,creative-suite,2
developer,cr-48,2
developer,carcassonne-ios,2
developer,c01u,2
developer,c-sharp,2
developer,arduino,2
developer,af-s-dx-nikkor-18-200mm-f3.5-5.6g-ed-vr-ii,2
developer,af-nikkor-50mm-f1.4d,2
developer,address-book,2
developer,acrobat,2
developer,3ds-max,2
developer,2big-quadra,2
designer,writeboard,2
designer,wordpress-mu,2
designer,visual-studio,2
designer,time-machine,2
designer,thunderbolt-display,2
designer,sword-and-sworcery-ios,2
designer,superduper,2
designer,steadicam-merlin,2
designer,snapz-pro-x,2
designer,skype-ios,2
designer,se530,2
designer,scansnap-s1500m,2
designer,runkeeper-ios,2
designer,rhel,2
designer,quietcomfort-15,2
designer,powershot-g10,2
designer,power-mac-g5,2
designer,pigma-micron,2
designer,penultimate-ios,2
designer,parallels-desktop,2
designer,paper-ios,2
designer,openoffice,2
designer,office,2
designer,notepad-plusplus,2
designer,nexus-one,2
designer,mx-revolution,2
designer,mx-1000,2
designer,mdr-7506,2
designer,max,2
designer,make,2
designer,macbook,2
designer,lumia-900,2
designer,listary-ios,2
designer,lightroom,2
designer,lc-a-plus,2
designer,iterm2,2
designer,ipod-nano,2
designer,ipad-3g,2
designer,internet-explorer,2
designer,happy-hacking-keyboard,2
designer,gmail,2
designer,gimp,2
designer,fontlab-studio,2
designer,finepix-x100,2
designer,final-draft,2
designer,filemaker-pro,2
designer,fedora,2
designer,evernote-ios,2
designer,elements-desktop,2
designer,echofon-ios,2
designer,ds-lite,2
designer,d90,2
designer,d70,2
designer,canabalt-ios,2
designer,c-plusplus,2
designer,1password-ios,2
data,sublime-text-2,2
data,sequel-pro,2
data,iterm2,2
data,iphone-4,2
data,google-docs,2
data,cinema-display,2
comedian,macbook-pro,2
comedian,final-cut-pro,2
audio,pro-tools,2
audio,macbook-pro,2
artist,wes51,2
artist,visual-studio,2
artist,unity,2
artist,toon-boom-studio,2
artist,time-machine,2
artist,subversion,2
artist,sketchup,2
artist,sketchbook-pro-ios,2
artist,remote-ios,2
artist,rebel-t2i,2
artist,procreate-ios,2
artist,powershot-g10,2
artist,power-mac-g5,2
artist,performance-mouse-mx,2
artist,mdr-7506,2
artist,make,2
artist,mail,2
artist,lumix-dmc-gf1,2
artist,logic-studio,2
artist,keyboard,2
artist,iphone-3g,2
artist,ipad-3g,2
artist,imac,2
artist,google-reader,2
artist,google-calendar,2
artist,fontexplorer-x,2
artist,flash,2
artist,final-draft,2
artist,final-cut-studio,2
artist,cinema-4d,2
artist,c-plusplus,2
animator,mac-os-x,2
animator,final-cut-pro,2
animator,eos-7d,2
animator,after-effects,2
actor,mac-pro,2
